id,y
0,7.882728704344236
1,6.508498233762674
2,8.148741651280925
3,7.954677021213342
4,7.954677021213342
5,7.675717544702307
6,4.999995657076895
7,6.214598975007612
8,6.677573947594047
9,7.251037138743839
10,7.442492798094342
11,7.844663962534939
12,7.600326278518962
13,4.999995657076895
14,6.657379957446652
15,3.9665758423887163
16,6.809388202186395
17,3.6989697871888323
18,7.055024091587952
19,5.408924257360319
20,7.467245621007502
21,6.509900994936695
22,7.696803942579511
23,5.568620151158064
24,6.443576878628715
25,7.7423214251308154
26,6.2217763732339035
27,5.274080204351564
28,8.167491087293763
29,8.619788758288394
30,6.795608668080701
31,5.762934047444596
32,6.279757981712943
33,5.045752665093239
34,6.397831448621003
35,4.999995657076895
36,7.3655227298392685
37,4.039290972893552
38,7.696803942579511
39,6.250959731296542
40,9.008773924307505
41,7.117475462045119
42,6.3476569449372855
43,5.361500759378924
44,7.419075024324381
45,8.09151498112135
46,6.99097425791309
47,6.247106845115406
48,7.995678626217358
49,4.999995657076895
50,7.995678626217358
51,8.958607314841775
52,7.345823458122039
53,6.300943145452332
54,6.431680914904888
55,7.017276612331455
56,7.017276612331455
57,6.568475415812549
58,9.096910013008056
59,4.602058254153509
60,6.638083381331357
61,6.17063189201118
62,5.999956572723137
63,4.999995657076895
64,4.999995657076895
65,4.301029127075886
66,8.769551078621726
67,7.283162276700476
68,6.522734004575147
69,6.885722703438414
70,8.168130225719498
71,4.999995657076895
72,9.007004901568658
73,3.9999995657057354
74,5.860089444124317
75,4.761951386505732
76,7.291579099865287
77,6.336204877780593
78,5.337232727236657
79,7.954677021213342
80,6.163612580673589
81,5.073138151501052
82,6.685922008220787
83,8.040958607678906
84,4.301029127075886
85,4.999995657076895
86,8.638272163982407
87,7.345823458122039
88,8.744727494896694
89,5.494836450189588
90,5.022271823214351
91,5.737525178979059
92,5.732804796854033
93,8.508638306165727
94,4.999995657076895
95,8.292429823902063
96,7.655607726314889
97,7.85078088734462
98,4.999995657076895
99,6.90622821850127
100,8.568636235841012
101,5.733980091146502
102,8.045757490560675
103,5.308026070198729
104,4.999995657076895
105,6.920456992597094
106,3.9999995657057354
107,6.995248844408999
108,7.493494967595128
109,7.300162274132754
110,5.005414521288878
111,6.737311655698304
112,6.116849800316722
113,4.318757857845185
114,6.300943145452332
115,5.510027465964983
116,6.279757981712943
117,6.619607839942972
118,7.085656842880559
119,5.22184151143531
120,9.397940008672037
121,6.142607189079099
122,4.585024981669003
123,5.482790901810457
124,4.999995657076895
125,6.173860382064086
126,7.442492798094342
127,7.882728704344236
128,4.920815134846772
129,4.999995657076895
130,7.600326278518962
131,7.583359492661719
132,7.026410376572743
133,4.698967832869038
134,7.675717544702307
135,7.133712660915805
136,6.537452271197336
137,7.636388020107856
138,7.467245621007502
139,6.677573947594047
140,7.085656842880559
141,6.920456992597094
142,7.91721462968355
143,5.638253282024103
144,6.2217763732339035
145,6.677573947594047
146,5.710611743224223
147,5.096904584360962
148,6.182368532809485
149,6.066968504897595
150,5.999956572723137
151,6.397831448621003
